k1,k2,ka,k1_avg,k2_avg,ka_avg,ζ_avg,prob_avg,λ1_avg,λ2_avg,λa_avg,σ_λ1,σ_λ2,σ_λa
7.0,61.0,34.0,7.0,61.0,34.0,-0.4264214,0.0,2.16805063,46.7323004,26.80452583,0.03330373,0.11547056,0.03397908
7.0,63.0,35.0,7.0,63.0,35.0,-0.42863655,0.0,2.17205215,48.52270698,27.72389261,0.03017401,0.14894711,0.03968894
7.0,65.0,36.0,7.0,65.0,36.0,-0.43093842,0.0,2.17241941,50.32844501,28.6398064,0.03124181,0.1339175,0.03161541
7.0,67.0,37.0,7.0,67.0,37.0,-0.43370286,0.0,2.16682903,52.17468072,29.54623064,0.03745616,0.12827628,0.03756402
7.0,69.0,38.0,7.0,69.0,38.0,-0.43533671,0.0,2.17479686,53.94017408,30.45783195,0.03157971,0.15580768,0.03924998
7.0,71.0,39.0,7.0,71.0,39.0,-0.43734001,0.0,2.16717218,55.76306285,31.37542263,0.0298108,0.16435202,0.03763584
7.0,73.0,40.0,7.0,73.0,40.0,-0.43935513,0.0,2.1662118,57.6018695,32.29403824,0.04095139,0.14777708,0.04676691
7.0,75.0,41.0,7.0,75.0,41.0,-0.44096066,0.0,2.17223594,59.43064751,33.22391972,0.03206306,0.13450333,0.02870851
7.0,77.0,42.0,7.0,77.0,42.0,-0.44255987,0.0,2.17203851,61.24713849,34.14146722,0.03194839,0.1509745,0.03932109
7.0,79.0,43.0,7.0,79.0,43.0,-0.4440962,0.0,2.17721605,63.08930098,35.07142763,0.03581874,0.15237974,0.04419609
7.0,81.0,44.0,7.0,81.0,44.0,-0.4456602,0.0,2.17702432,64.9276268,35.99177684,0.03527587,0.17203206,0.03978884
7.0,83.0,45.0,7.0,83.0,45.0,-0.44696354,0.0,2.17044984,66.75276967,36.9166122,0.02689632,0.13381419,0.0432868
7.0,85.0,46.0,7.0,85.0,46.0,-0.44823649,0.0,2.16775454,68.5849316,37.84252543,0.03842153,0.15008631,0.04079091
7.0,87.0,47.0,7.0,87.0,47.0,-0.44993496,0.0,2.16961129,70.51234925,38.78629406,0.03509498,0.12125497,0.04161137
7.0,89.0,48.0,7.0,89.0,48.0,-0.45093587,0.0,2.16857133,72.355603,39.72770657,0.02939242,0.16409643,0.04290068
7.0,91.0,49.0,7.0,91.0,49.0,-0.45218762,0.0,2.17184107,74.20909338,40.65253958,0.03195029,0.15342158,0.04846897
7.0,93.0,50.0,7.0,93.0,50.0,-0.45294167,0.0,2.17769382,75.9932006,41.57260895,0.03570483,0.14662352,0.04127946
7.0,95.0,51.0,7.0,95.0,51.0,-0.45423325,0.0,2.17835413,77.90361742,42.51701197,0.03316882,0.19415287,0.04619959
7.0,97.0,52.0,7.0,97.0,52.0,-0.45514693,0.0,2.1726256,79.75197672,43.45301329,0.03645151,0.14060598,0.03821937
7.0,99.0,53.0,7.0,99.0,53.0,-0.45608056,0.0,2.17992794,81.63034167,44.40021703,0.03510673,0.15331863,0.03903957
7.0,101.0,54.0,7.0,101.0,54.0,-0.45705632,0.0,2.16707413,83.49614,45.33354723,0.03391632,0.17362443,0.03946318
7.0,103.0,55.0,7.0,103.0,55.0,-0.45813269,0.0,2.1716257,85.36935196,46.25874877,0.03242902,0.15772686,0.04996231
7.0,105.0,56.0,7.0,105.0,56.0,-0.45872467,0.0,2.17505921,87.23814449,47.21970762,0.03588384,0.18051084,0.04761156
7.0,107.0,57.0,7.0,107.0,57.0,-0.45972403,0.0,2.17448798,89.15670815,48.16910434,0.03530737,0.17474929,0.04977572
7.0,109.0,58.0,7.0,109.0,58.0,-0.46049244,0.0,2.16361753,91.02527692,49.10868374,0.03310215,0.17275495,0.04427922
9.0,5.0,7.0,9.0,5.0,7.0,0.05864472,1.0,3.44100325,1.04034224,3.64244711,0.03503282,0.02602099,0.01232903
9.0,7.0,8.0,9.0,7.0,8.0,0.27700267,1.0,3.44571131,2.17127321,4.39949324,0.04381923,0.03627438,0.01741826
9.0,9.0,9.0,9.0,9.0,9.0,0.49220982,1.0,3.43900858,3.44015901,5.17672998,0.04843723,0.04414928,0.01432305
9.0,11.0,10.0,9.0,11.0,10.0,0.23995387,1.0,3.44437949,4.81598176,5.97090346,0.04921254,0.05292905,0.01470656
9.0,13.0,11.0,9.0,13.0,11.0,0.08616191,1.0,3.43656509,6.23197203,6.76848029,0.03677364,0.05307765,0.01875172
9.0,15.0,12.0,9.0,15.0,12.0,-0.01499198,0.0,3.43424356,7.70541893,7.58945047,0.04202618,0.0628203,0.01769308
9.0,17.0,13.0,9.0,17.0,13.0,-0.08925377,0.0,3.44163782,9.22106958,8.39774387,0.03965918,0.06094249,0.02193629
9.0,19.0,14.0,9.0,19.0,14.0,-0.14308545,0.0,3.4410888,10.77788295,9.23535224,0.0421132,0.07239814,0.02238926
9.0,21.0,15.0,9.0,21.0,15.0,-0.18470957,0.0,3.44145652,12.34663133,10.06573691,0.04604129,0.07832554,0.02613523
9.0,23.0,16.0,9.0,23.0,16.0,-0.21725175,0.0,3.45452794,13.93630147,10.9082054,0.04173258,0.09127206,0.02248562
9.0,25.0,17.0,9.0,25.0,17.0,-0.2456648,0.0,3.44970458,15.59544142,11.76392256,0.04926953,0.07651184,0.02605747
9.0,27.0,18.0,9.0,27.0,18.0,-0.2671056,0.0,3.43484249,17.21156802,12.61391301,0.04122293,0.09785678,0.02322378
9.0,29.0,19.0,9.0,29.0,19.0,-0.28565767,0.0,3.44645293,18.85690633,13.46995044,0.03479161,0.10289407,0.02521895
9.0,31.0,20.0,9.0,31.0,20.0,-0.30223004,0.0,3.44635168,20.55601238,14.34305496,0.0494954,0.09976863,0.02790679
9.0,33.0,21.0,9.0,33.0,21.0,-0.31563385,0.0,3.44855872,22.23093265,15.2137473,0.03844099,0.11091088,0.02879775
9.0,35.0,22.0,9.0,35.0,22.0,-0.32744902,0.0,3.45065366,23.90714471,16.07858745,0.04129933,0.08917068,0.02833881
9.0,37.0,23.0,9.0,37.0,23.0,-0.33776936,0.0,3.43625172,25.61422933,16.96224679,0.03902286,0.10620676,0.03077075
9.0,39.0,24.0,9.0,39.0,24.0,-0.34800569,0.0,3.44374276,27.36369241,17.84073917,0.04669117,0.12089222,0.0359006
9.0,41.0,25.0,9.0,41.0,25.0,-0.35611589,0.0,3.43591092,29.08626982,18.7279112,0.04929888,0.11803741,0.028502
9.0,43.0,26.0,9.0,43.0,26.0,-0.36317901,0.0,3.44986685,30.78405508,19.60373743,0.04875932,0.11047596,0.03704826
9.0,45.0,27.0,9.0,45.0,27.0,-0.36993612,0.0,3.44472751,32.53985668,20.50200727,0.04595191,0.10302386,0.0290693
9.0,47.0,28.0,9.0,47.0,28.0,-0.37633701,0.0,3.44115077,34.29250318,21.38682455,0.04723023,0.09916942,0.03182553
9.0,49.0,29.0,9.0,49.0,29.0,-0.38136944,0.0,3.43700014,36.02403411,22.2854199,0.04530895,0.09954109,0.02934713
9.0,51.0,30.0,9.0,51.0,30.0,-0.38727052,0.0,3.44970181,37.84691786,23.18967445,0.03700378,0.13856053,0.03609396
9.0,53.0,31.0,9.0,53.0,31.0,-0.39145355,0.0,3.4441146,39.57688314,24.08416105,0.04440216,0.13451608,0.03577854
9.0,55.0,32.0,9.0,55.0,32.0,-0.39618409,0.0,3.44863696,41.38218078,24.98691105,0.04146873,0.16340069,0.03474628
9.0,57.0,33.0,9.0,57.0,33.0,-0.40035271,0.0,3.44760133,43.17568441,25.88999282,0.04612066,0.12845686,0.03473546
9.0,59.0,34.0,9.0,59.0,34.0,-0.40388695,0.0,3.43899151,44.95932078,26.80070937,0.04911353,0.11648723,0.0332409
9.0,61.0,35.0,9.0,61.0,35.0,-0.40694251,0.0,3.44153371,46.71940395,27.70693629,0.05057382,0.17794109,0.03335492
9.0,63.0,36.0,9.0,63.0,36.0,-0.41025241,0.0,3.43790255,48.51862961,28.61356272,0.04319995,0.14335147,0.04179749
9.0,65.0,37.0,9.0,65.0,37.0,-0.41332678,0.0,3.4483983,50.35028964,29.53900511,0.03788796,0.12734351,0.03285078
9.0,67.0,38.0,9.0,67.0,38.0,-0.41617015,0.0,3.44830972,52.166638,30.45631609,0.03891609,0.12293754,0.0366009
9.0,69.0,39.0,9.0,69.0,39.0,-0.41883919,0.0,3.44898616,53.96644449,31.36303575,0.03879769,0.12791,0.03845147
9.0,71.0,40.0,9.0,71.0,40.0,-0.42125982,0.0,3.43516579,55.77915584,32.2814949,0.04729735,0.13282281,0.04082415
9.0,73.0,41.0,9.0,73.0,41.0,-0.42317569,0.0,3.4350706,57.55811247,33.20072453,0.04219626,0.16451941,0.0483864
9.0,75.0,42.0,9.0,75.0,42.0,-0.42607127,0.0,3.44314081,59.45183053,34.12086717,0.03900045,0.17843319,0.0408749
9.0,77.0,43.0,9.0,77.0,43.0,-0.42798792,0.0,3.4367437,61.26975403,35.04689359,0.04054277,0.13571291,0.0356841
9.0,79.0,44.0,9.0,79.0,44.0,-0.42951713,0.0,3.449184,63.06473737,35.97715711,0.04569981,0.1668002,0.0434127
9.0,81.0,45.0,9.0,81.0,45.0,-0.43173758,0.0,3.44582777,64.94889976,36.90784051,0.03617634,0.16546854,0.03614519
9.0,83.0,46.0,9.0,83.0,46.0,-0.43325872,0.0,3.44753118,66.7599794,37.83545708,0.04769613,0.16476395,0.04201011
9.0,85.0,47.0,9.0,85.0,47.0,-0.43494999,0.0,3.43762974,68.60165383,38.76317588,0.04602644,0.17305026,0.04640755
9.0,87.0,48.0,9.0,87.0,48.0,-0.43671141,0.0,3.44841845,70.46793458,39.69356702,0.04288074,0.18777549,0.04273566
9.0,89.0,49.0,9.0,89.0,49.0,-0.4383357,0.0,3.44307017,72.34408028,40.6328994,0.04231548,0.16776792,0.03237464
9.0,91.0,50.0,9.0,91.0,50.0,-0.43953936,0.0,3.44705214,74.14771818,41.55671488,0.03321287,0.16648529,0.04287317
9.0,93.0,51.0,9.0,93.0,51.0,-0.44122808,0.0,3.43553006,76.06580483,42.50331669,0.04749387,0.15228009,0.04570355
9.0,95.0,52.0,9.0,95.0,52.0,-0.44214175,0.0,3.45887262,77.86383314,43.4367595,0.03832437,0.20255452,0.04406615
9.0,97.0,53.0,9.0,97.0,53.0,-0.44359109,0.0,3.43408719,79.77865837,44.38944148,0.03969075,0.16387465,0.05098223
9.0,99.0,54.0,9.0,99.0,54.0,-0.44472499,0.0,3.44228148,81.60796397,45.31467845,0.04592524,0.18787158,0.03886854
9.0,101.0,55.0,9.0,101.0,55.0,-0.44581078,0.0,3.44327949,83.46901574,46.25744563,0.04546339,0.18628635,0.04079102
9.0,103.0,56.0,9.0,103.0,56.0,-0.44704473,0.0,3.4477703,85.35478733,47.19723159,0.04545933,0.16745118,0.04762007
9.0,105.0,57.0,9.0,105.0,57.0,-0.44825832,0.0,3.44029888,87.26180734,48.1457954,0.04070318,0.20295286,0.05530273
9.0,107.0,58.0,9.0,107.0,58.0,-0.44908927,0.0,3.42949091,89.09320737,49.08225869,0.04443783,0.17943524,0.04588781
9.0,109.0,59.0,9.0,109.0,59.0,-0.45054726,0.0,3.43777156,91.04749083,50.02615037,0.04755081,0.18528398,0.04601529
11.0,5.0,8.0,11.0,5.0,8.0,-0.08243241,0.0,4.80129698,1.03670479,4.4050143,0.05520639,0.02788058,0.01772633
11.0,7.0,9.0,11.0,7.0,9.0,0.07696829,1.0,4.81088584,2.17462143,5.180616,0.051264,0.02791477,0.01483111
11.0,9.0,10.0,11.0,9.0,10.0,0.24367801,1.0,4.79776504,3.45307368,5.9661699,0.05499323,0.03387303,0.02046468
11.0,11.0,11.0,11.0,11.0,11.0,0.40010712,1.0,4.81044463,4.79836666,6.76800182,0.0566059,0.05236573,0.0175903
11.0,13.0,12.0,11.0,13.0,12.0,0.21596243,1.0,4.79559017,6.22908764,7.57366481,0.05553883,0.06151235,0.01623129
11.0,15.0,13.0,11.0,15.0,13.0,0.08991441,1.0,4.80967133,7.7064429,8.39885291,0.04809713,0.06069881,0.01550738
11.0,17.0,14.0,11.0,17.0,14.0,-0.00021135,0.56,4.80361181,9.2343437,9.23198697,0.05701678,0.06167082,0.02344945
11.0,19.0,15.0,11.0,19.0,15.0,-0.06583242,0.0,4.80893009,10.77521438,10.06560002,0.05833857,0.05667848,0.01914955
11.0,21.0,16.0,11.0,21.0,16.0,-0.11495643,0.0,4.79864953,12.32925737,10.91140643,0.06077304,0.08757272,0.02600984
11.0,23.0,17.0,11.0,23.0,17.0,-0.1576829,0.0,4.80081016,13.95352461,11.75295809,0.05318472,0.07658857,0.02484628
11.0,25.0,18.0,11.0,25.0,18.0,-0.1899739,0.0,4.80703422,15.57089781,12.61255214,0.04385441,0.07570528,0.02443209
11.0,27.0,19.0,11.0,27.0,19.0,-0.21766832,0.0,4.80573167,17.22366455,13.47418671,0.05018357,0.10260251,0.02448772
11.0,29.0,20.0,11.0,29.0,20.0,-0.23956629,0.0,4.8107718,18.84882439,14.33283765,0.04900969,0.11025957,0.02722298
11.0,31.0,21.0,11.0,31.0,21.0,-0.2598671,0.0,4.80470221,20.54565954,15.20624626,0.04470857,0.09268374,0.02472581
11.0,33.0,22.0,11.0,33.0,22.0,-0.27636355,0.0,4.80575741,22.21809469,16.07754042,0.053684,0.09578235,0.02846559
11.0,35.0,23.0,11.0,35.0,23.0,-0.2912158,0.0,4.80836915,23.91122329,16.94764386,0.04762019,0.10087583,0.02767909
11.0,37.0,24.0,11.0,37.0,24.0,-0.30440902,0.0,4.80335591,25.6283072,17.82655057,0.05012984,0.10565701,0.02975849
11.0,39.0,25.0,11.0,39.0,25.0,-0.31544298,0.0,4.80171866,27.33493499,18.71191498,0.04841033,0.12994174,0.02649044
11.0,41.0,26.0,11.0,41.0,26.0,-0.32626573,0.0,4.81739264,29.07799421,19.59062809,0.05145143,0.10674994,0.02981131
11.0,43.0,27.0,11.0,43.0,27.0,-0.33496974,0.0,4.81549992,30.81026692,20.4894517,0.05085099,0.12659077,0.03086314
11.0,45.0,28.0,11.0,45.0,28.0,-0.34314148,0.0,4.80322737,32.53891924,21.37319609,0.05681578,0.12018509,0.02995798
11.0,47.0,29.0,11.0,47.0,29.0,-0.3503755,0.0,4.7995727,34.29850887,22.28091123,0.04800248,0.11848665,0.03129828
11.0,49.0,30.0,11.0,49.0,30.0,-0.35708843,0.0,4.80932563,36.03591772,23.16750347,0.05400881,0.15825487,0.02905915
11.0,51.0,31.0,11.0,51.0,31.0,-0.3632174,0.0,4.8033068,37.80259209,24.07180442,0.04520666,0.13025912,0.03287195
11.0,53.0,32.0,11.0,53.0,32.0,-0.36958913,0.0,4.80558934,39.59812965,24.96281692,0.05385368,0.13060501,0.03538235
11.0,55.0,33.0,11.0,55.0,33.0,-0.3742388,0.0,4.79840278,41.35017672,25.87508714,0.04884826,0.1457924,0.04049263
11.0,57.0,34.0,11.0,57.0,34.0,-0.37947113,0.0,4.78961045,43.15707687,26.78006597,0.05468034,0.11890747,0.03431097
11.0,59.0,35.0,11.0,59.0,35.0,-0.38392189,0.0,4.81006997,44.94597161,27.69000775,0.05476556,0.14133894,0.03461951
11.0,61.0,36.0,11.0,61.0,36.0,-0.38805642,0.0,4.81856908,46.74035126,28.60219219,0.04779975,0.14885833,0.03447593
11.0,63.0,37.0,11.0,63.0,37.0,-0.39207098,0.0,4.78806302,48.54291252,29.51041192,0.05126885,0.14734031,0.04227143
11.0,65.0,38.0,11.0,65.0,38.0,-0.39554652,0.0,4.80418446,50.35445235,30.43676296,0.04499957,0.1456461,0.04329631
11.0,67.0,39.0,11.0,67.0,39.0,-0.39879581,0.0,4.8182561,52.15169288,31.35357989,0.04493217,0.15910767,0.03331906
11.0,69.0,40.0,11.0,69.0,40.0,-0.40194073,0.0,4.81364166,53.94912061,32.26458306,0.04908913,0.14059953,0.03364752
11.0,71.0,41.0,11.0,71.0,41.0,-0.40489418,0.0,4.80076972,55.76839687,33.18788755,0.05299092,0.15310435,0.03471243
11.0,73.0,42.0,11.0,73.0,42.0,-0.40785144,0.0,4.79978355,57.60348297,34.10970173,0.05730101,0.12414302,0.03596603
