t,λ1,δ1,λ2,δ2,λ3,δ3,λ4,δ4,λ5,δ5,λ6,δ6,λ7,δ7,λ8,δ8,λ9,δ9,λ10,δ10
238.0,29.57978637131967,33.0,29.606447430316855,33.0,29.53875868198985,33.0,29.56735268856124,33.0,29.570143198166207,33.0,29.635629028909758,33.0,29.597047367618135,33.0,29.60083518433747,33.0,29.669563870886943,33.0,29.660182017995837,33.0
239.0,29.57978637131967,33.0,29.606447430316855,33.0,29.53875868198985,33.0,29.56735268856124,33.0,29.570143198166207,33.0,29.635629028909758,33.0,29.597047367618135,33.0,29.60083518433747,33.0,29.669563870886943,33.0,29.660182017995837,33.0
240.0,29.57978637131967,33.0,29.606447430316855,33.0,29.53875868198985,33.0,29.56735268856124,33.0,29.570143198166207,33.0,29.635629028909758,33.0,29.599744727737075,33.0,29.60083518433747,33.0,29.669563870886943,33.0,29.675884568260322,33.0
241.0,29.57978637131967,33.0,29.606447430316855,33.0,29.53875868198985,33.0,29.56735268856124,33.0,29.570143198166207,33.0,29.635629028909758,33.0,29.599744727737075,33.0,29.60083518433747,33.0,29.669563870886975,33.0,29.675884568260322,33.0
242.0,29.57978637131967,33.0,29.606686846541766,33.0,29.53875868198985,33.0,29.56735268856124,33.0,29.570143198166207,33.0,29.635629028909758,33.0,29.599744727737075,33.0,29.60083518433747,33.0,29.670414677268905,33.0,29.675884568260322,33.0
243.0,29.581513484408344,33.0,29.606686846541766,33.0,29.53875868198985,33.0,29.56735268856124,33.0,29.570143198166207,33.0,29.63857249394763,33.0,29.599744727737075,33.0,29.60083518433747,33.0,29.670414677268905,33.0,29.675884568260322,33.0
244.0,29.581513484408344,33.0,29.606686846541766,33.0,29.53875868198985,33.0,29.56735268856124,33.0,29.570143198166207,33.0,29.63857249394763,33.0,29.600476056939865,33.0,29.60083518433747,33.0,29.670414677268905,33.0,29.678025141245183,33.0
245.0,29.581513484408344,33.0,29.606686846541766,33.0,29.53875868198985,33.0,29.56735268856124,33.0,29.570143198166207,33.0,29.63857249394763,33.0,29.61281603211934,33.0,29.60083518433747,33.0,29.670414677268905,33.0,29.678025141245183,33.0
246.0,29.581513484408344,33.0,29.606686846541766,33.0,29.53875868198985,33.0,29.56735268856124,33.0,29.570143198166207,33.0,29.63857249394763,33.0,29.61281603211934,33.0,29.60083518433747,33.0,29.670414677268905,33.0,29.678025141245236,33.0
247.0,29.581513484408344,33.0,29.606686846541766,33.0,29.53875868198985,33.0,29.56735268856124,33.0,29.570143198166207,33.0,29.63857249394763,33.0,29.61281603211934,33.0,29.60083518433747,33.0,29.670414677268905,33.0,29.678025141245236,33.0
248.0,29.581513484408344,33.0,29.606686846541766,33.0,29.53875868198985,33.0,29.56735268856124,33.0,29.570143198166207,33.0,29.6402874598871,33.0,29.61281603211934,33.0,29.60083518433747,33.0,29.670414677268905,33.0,29.678025141245236,33.0
249.0,29.581513484408344,33.0,29.606686846541766,33.0,29.53875868198985,33.0,29.56735268856124,33.0,29.570143198166207,33.0,29.643625637123186,33.0,29.61281603211934,33.0,29.60083518433747,33.0,29.670414677268905,33.0,29.678025141245236,33.0
250.0,29.581513484408344,33.0,29.607250049198615,33.0,29.53875868198985,33.0,29.56735268856124,33.0,29.570143198166207,33.0,29.643625637123186,33.0,29.61281603211934,33.0,29.60083518433747,33.0,29.670414677268905,33.0,29.678025141245236,33.0
251.0,29.581513484408344,33.0,29.607250049198615,33.0,29.53875868198985,33.0,29.56735268856124,33.0,29.570143198166207,33.0,29.646318180274847,33.0,29.61281603211934,33.0,29.60083518433747,33.0,29.670414677268905,33.0,29.678025141245236,33.0
