t,λ1,δ1,λ2,δ2
391.0,25.12018100259541,26.5,34.651907456525215,35.0
392.0,25.12018100259541,26.5,34.651907456525215,35.0
393.0,25.12018100259541,26.5,34.65199684807115,35.0
394.0,25.12018100259541,26.5,34.65199684807115,35.0
395.0,25.12018100259541,26.5,34.65199684807115,35.0
396.0,25.120278098697227,26.5,34.65199684807115,35.0
397.0,25.121007765464867,26.5,34.65199684807115,35.0
398.0,25.121007765464867,26.5,34.65199684807115,35.0
399.0,25.121007765464867,26.5,34.65199684807115,35.0
400.0,25.121302913825428,26.5,34.65207690551593,35.0
401.0,25.121302913825428,26.5,34.65207690551593,35.0
402.0,25.123107603766087,26.5,34.65208606685092,35.0
403.0,25.123107603766087,26.5,34.652095140780965,35.0
404.0,25.12341182327569,26.5,34.652095140780965,35.0
405.0,25.12341182327569,26.5,34.652095140780965,35.0
406.0,25.12367115597241,26.5,34.65220194532104,35.0
407.0,25.12367115597241,26.5,34.6522331889701,35.0
408.0,25.12367115597241,26.5,34.6522331889701,35.0
409.0,25.12367115597241,26.5,34.6522331889701,35.0
410.0,25.12367115597241,26.5,34.6522331889701,35.0
411.0,25.12367115597241,26.5,34.65488573852044,35.0
412.0,25.130294526260514,26.5,34.65488573852044,35.0
413.0,25.130294526260514,26.5,34.65488573852044,35.0
414.0,25.130506882212188,26.5,34.657553232538675,35.0
415.0,25.130744441434494,26.5,34.65761282816646,35.0
416.0,25.130782157537578,26.5,34.65761282816646,35.0
417.0,25.130782157537578,26.5,34.65761282816646,35.0
418.0,25.131699159339647,26.5,34.65761282816646,35.0
419.0,25.131699159339647,26.5,34.65761282816646,35.0
420.0,25.131699159339647,26.5,34.65761296558597,35.0
421.0,25.165111871266205,26.5,34.65761296558597,35.0
422.0,25.165471851202845,26.5,34.65761296558597,35.0
423.0,25.165471851202845,26.5,34.65761296558597,35.0
424.0,25.172748844020724,26.5,34.65761296558597,35.0
425.0,25.174896598439112,26.5,34.657623240114454,35.0
426.0,25.174896598439112,26.5,34.657623240114454,35.0
427.0,25.175383158132295,26.5,34.657623240114454,35.0
428.0,25.175594138102127,26.5,34.657623240114454,35.0
429.0,25.175594138102127,26.5,34.65763146892909,35.0
430.0,25.177011765385036,26.5,34.65772724679147,35.0
431.0,25.177011765385036,26.5,34.65772724679147,35.0
432.0,25.177011765385036,26.5,34.65774553004279,35.0
433.0,25.202639371843162,26.5,34.65921565697419,35.0
434.0,25.203485076887006,26.5,34.6592492062835,35.0
435.0,25.203485076887006,26.5,34.662654173412214,35.0
436.0,25.204687030622893,26.5,34.662654173412214,35.0
437.0,25.207331629521644,26.5,34.662654173412214,35.0
438.0,25.207374319051674,26.5,34.662654173412214,35.0
439.0,25.207374319051674,26.5,34.662654173412214,35.0
440.0,25.207374319051674,26.5,34.662654173412214,35.0
441.0,25.207374319051674,26.5,34.66265933192685,35.0
442.0,25.207374319051674,26.5,34.66265933192685,35.0
443.0,25.214523005105598,26.5,34.66265933192685,35.0
444.0,25.21452847148877,26.5,34.66265933192685,35.0
445.0,25.21452847148877,26.5,34.66265933192685,35.0
446.0,25.215226313681097,26.5,34.66265933192685,35.0
447.0,25.215226313681097,26.5,34.66265933192685,35.0
448.0,25.21540036727345,26.5,34.66272093002484,35.0
449.0,25.21653814326561,26.5,34.66272093002484,35.0
450.0,25.216890986463998,26.5,34.66280232916528,35.0
451.0,25.216890986463998,26.5,34.66280232916528,35.0
452.0,25.22108585101432,26.5,34.66280232916528,35.0
